Respondent,Product_Quality,E_Commerce,Technical_Support,Complaint_Resolution,Advertising,Product_Line,Salesforce_Image,Competitive_Pricing,Warranty_Claims,Packaging,Order_Billing,Price_Flexibility,Delivery_Speed
1,8.5,3.9,2.5,5.9,4.8,4.9,6,6.8,4.7,4.3,5,5.1,3.7
2,8.2,2.7,5.1,7.2,3.4,7.9,3.1,5.3,5.5,4,3.9,4.3,4.9
3,9.2,3.4,5.6,5.6,5.4,7.4,5.8,4.5,6.2,4.6,5.4,4,4.5
4,6.4,3.3,7,3.7,4.7,4.7,4.5,8.8,7,3.6,4.3,4.1,3
5,9,3.4,5.2,4.6,2.2,6,4.5,6.8,6.1,4.5,4.5,3.5,3.5
6,6.5,2.8,3.1,4.1,4,4.3,3.7,8.5,5.1,9.5,3.6,4.7,3.3
7,6.9,3.7,5,2.6,2.1,2.3,5.4,8.9,4.8,2.5,2.1,4.2,2
8,6.2,3.3,3.9,4.8,4.6,3.6,5.1,6.9,5.4,4.8,4.3,6.3,3.7
9,5.8,3.6,5.1,6.7,3.7,5.9,5.8,9.3,5.9,4.4,4.4,6.1,4.6
10,6.4,4.5,5.1,6.1,4.7,5.7,5.7,8.4,5.4,5.3,4.1,5.8,4.4
11,8.7,3.2,4.6,4.8,2.7,6.8,4.6,6.8,5.8,7.5,3.8,3.7,4
12,6.1,4.9,6.3,3.9,4.4,3.9,6.4,8.2,5.8,5.9,3,4.9,3.2
13,9.5,5.6,4.6,6.9,5,6.9,6.6,7.6,6.5,5.3,5.1,4.5,4.4
14,9.2,3.9,5.7,5.5,2.4,8.4,4.8,7.1,6.7,3,4.5,2.6,4.2
15,6.3,4.5,4.7,6.9,4.5,6.8,5.9,8.8,6,5.4,4.8,6.2,5.2
16,8.7,3.2,4,6.8,3.2,7.8,3.8,4.9,6.1,5,4.3,3.9,4.5
17,5.7,4,6.7,6,3.3,5.5,5.1,6.2,6.7,5.4,4.2,6.2,4.5
18,5.9,4.1,5.5,7.2,3.5,6.4,5.5,8.4,6.2,6.3,5.7,5.8,4.8
19,5.6,3.4,5.1,6.4,3.7,5.7,5.6,9.1,5.4,6.1,5,6,4.5
20,9.1,4.5,3.6,6.4,5.3,5.3,7.1,8.4,5.8,6.7,4.5,6.1,4.4
21,5.2,3.8,7.1,5.2,3.9,4.3,5,8.4,7.1,4.6,3.3,4.9,3.3
22,9.6,5.7,6.8,5.9,5.4,8.3,7.8,4.5,6.4,6.5,4.3,3,4.3
23,8.6,3.6,7.4,5.1,3.5,7.3,4.7,3.7,6.7,6,4.8,3.4,4
24,9.3,2.4,2.6,7.2,2.2,7.2,4.5,6.2,6.4,4.2,6.7,4.4,4.5
25,6,4.1,5.3,4.7,3.5,5.3,5.3,8,6.5,3.9,4.7,5.3,4
26,6.4,3.6,6.6,6.1,4,3.9,5.3,7.1,6.1,3.7,5.6,6.6,3.9
27,8.5,3,7.2,5.8,4.1,7.6,3.7,4.8,6.9,6.7,5.3,3.8,4.4
28,7,3.3,5.4,5.5,2.6,4.8,4.2,9,6.5,5.9,4.3,5.2,3.7
29,8.5,3,5.7,6,2.3,7.6,3.7,4.8,5.8,6,5.7,3.8,4.4
30,7.6,3.6,3,4,5.1,4.2,4.6,7.7,4.9,7.2,4.7,5.5,3.5
31,6.9,3.4,8.5,4.3,4.5,6.4,4.7,5.2,7.7,3.3,3.7,2.7,3.3
32,8.1,2.5,7.2,4.5,2.3,5.1,3.8,6.6,6.8,6.1,3,3.5,3
33,6.7,3.7,6.5,5.3,5.3,5.1,4.9,9.2,5.7,4.2,3.5,4.5,3.4
34,8,3.3,6.1,5.7,5.5,4.6,4.7,8.7,5.9,3.8,4.7,6.6,4.2
35,6.7,4,5.2,3.9,3,5.4,6.8,8.4,6.2,6,2.5,4.3,3.5
36,8.7,3.2,6.1,4.3,3.5,6.1,2.9,5.6,6.1,6.5,3.1,2.9,2.5
37,9,3.4,5.9,4.6,3.9,6,4.5,6.8,6.4,4.3,3.9,3.5,3.5
38,9.6,4.1,6.2,7.3,2.9,7.7,5.5,7.7,6.1,4.4,5.2,4.6,4.9
39,8.2,3.6,3.9,6.2,5.8,4.9,5,9,5.2,7.1,4.7,6.9,4.5
40,6.1,4.9,3,4.8,5.1,3.9,6.4,8.2,5.1,6.8,4.5,4.9,3.2
41,8.3,3.4,3.3,5.5,3.1,4.6,5.2,9.1,4.1,1.7,4.6,5.8,3.9
42,9.4,3.8,4.7,5.4,3.8,6.5,4.9,8.5,4.9,6.2,4.1,4.5,4.1
43,9.3,5.1,4.6,6.8,5.8,6.6,6.3,7.4,5.1,4.1,4.6,4.6,4.3
44,5.1,5.1,6.6,6.9,4.4,5.4,7.8,5.9,7.2,5.2,4.9,6.3,4.5
45,8,2.5,4.7,7.1,3.6,7.7,3,5.2,5.1,3.9,4.3,4.2,4.7
46,5.9,4.1,5.7,5.9,5.8,6.4,5.5,8.4,6.4,5.1,5.2,5.8,4.8
47,10,4.3,7.1,6.3,2.9,5.4,4.5,3.8,6.7,3.7,5,4,3.5
48,5.7,3.8,6.8,7.5,5.7,5.7,6,8.2,6.6,4.8,6.5,7.3,5.2
49,9.9,3.7,3.7,6.1,4.2,7,6.7,6.8,5.9,7.2,4.5,3.4,3.9
50,7.9,3.9,4.3,5.8,4.4,6.9,5.8,4.7,5.2,3.6,4.1,4.2,4.3
51,6.7,3.6,5.9,4.2,3.4,4.7,4.8,7.2,5.7,5.3,4,3.6,2.8
52,8.2,2.7,3.7,7.4,2.7,7.9,3.1,5.3,5.3,5,4.5,4.3,4.9
53,9.4,2.5,4.8,6.1,3.2,7.3,4.6,6.3,6.3,9.2,4.7,4.6,4.6
54,6.9,3.4,5.7,4.4,3.3,6.4,4.7,5.2,6.4,4.4,3.2,2.7,3.3
55,8,3.3,3.8,5.8,3.2,4.6,4.7,8.7,5.3,4.2,4.9,6.6,4.2
56,9.3,3.8,7.3,5.7,3.7,6.4,5.5,7.4,6.6,5.9,4.1,3.2,3.4
57,7.4,5.1,4.8,7.7,4.5,7.2,6.9,9.6,6.4,7.4,5.7,6.5,5.5
58,7.6,3.6,5.2,5.8,5.6,6.6,5.4,4.4,6.7,6.4,4.6,3.9,4
59,10,4.3,5.3,3.7,4.2,5.4,4.5,3.8,6.7,4.5,3.7,4,3.5
60,9.9,2.8,7.2,6.9,2.6,5.8,3.5,5.4,6.2,7,5.6,4.9,4
61,8.7,3.2,8.4,6.1,2.8,7.8,3.8,4.9,7.2,4.5,5.4,3.9,4.5
62,8.4,3.8,6.7,5,4.5,4.7,5.9,6.7,5.1,4.2,2.7,5,3.6
63,8.8,3.9,3.8,5.1,4.3,4.7,4.8,5.8,5,7.2,4.4,3.7,2.9
64,7.7,2.2,6.3,4.5,2.4,4.7,3.4,6.2,6,4.7,3.3,3.1,2.6
65,6.6,3.6,5.8,4.1,4.9,4.7,4.8,7.2,6.5,3.9,3.5,3.6,2.8
66,5.7,3.8,3.5,6.7,5.4,5.7,6,8.2,5.4,5,4.7,7.3,5.2
67,5.7,4,7.9,6.4,2.7,5.5,5.1,6.2,7.5,6.4,5,6.2,4.5
68,5.5,3.7,4.7,5.4,4.3,5.3,4.9,6,5.6,2.5,4.5,5.9,4.3
69,7.5,3.5,3.8,3.5,2.9,4.1,4.5,7.6,5.1,5.2,4,5.4,3.4
70,6.4,3.6,2.7,5.3,3.9,3.9,5.3,7.1,5.2,5.5,4.7,6.6,3.9
71,9.1,4.5,6.1,5.9,6.3,5.3,7.1,8.4,7.1,5.7,5.4,6.1,4.4
72,6.7,3.2,3,3.7,4.8,6.3,4.5,5,5.2,2.5,2.9,2.6,3.1
73,6.5,4.3,2.7,6.6,6.5,6.3,6,8.7,4.7,6.3,4.6,5.6,4.6
74,9.9,3.7,7.5,4.7,5.6,7,6.7,6.8,7.2,4.6,4.1,3.4,3.9
75,8.5,3.9,5.3,5.5,5,4.9,6,6.8,5.7,3.6,4.4,5.1,3.7
76,9.9,3,6.8,5,5.4,5.9,4.8,4.9,7.3,7.6,3.1,4.3,3.8
77,7.6,3.6,7.6,4.6,4.7,4.6,5,7.4,8.1,6.6,4.5,5.8,3.9
78,9.4,3.8,7,6.2,4.7,6.5,4.9,8.5,7.3,2.4,4.3,4.5,4.1
79,9.3,3.5,6.3,7.6,5.5,7.5,5.9,4.6,6.6,3.1,5.2,4.1,4.6
80,7.1,3.4,4.9,4.1,4,5,5.9,7.8,6.1,3.5,2.6,3.1,2.7
81,9.9,3,7.4,4.8,4,5.9,4.8,4.9,5.9,6.9,3.2,4.3,3.8
82,8.7,3.2,6.4,4.9,2.4,6.8,4.6,6.8,6.3,5.1,4.3,3.7,4
83,8.6,2.9,5.8,3.9,2.9,5.6,4,6.3,6.1,4,2.7,3,3
84,6.4,3.2,6.7,3.6,2.2,2.9,5,8.4,7.3,6.5,2,3.7,1.6
85,7.7,2.6,6.7,6.6,1.9,7.2,4.3,5.9,6.5,4.1,4.7,3.9,4.3
86,7.5,3.5,4.1,4.5,3.5,4.1,4.5,7.6,4.9,2.8,3.4,5.4,3.4
87,5,3.6,1.3,3,3.5,4.2,4.9,8.2,4.3,7.6,2.4,4.8,3.1
88,7.7,2.6,8,6.7,3.5,7.2,4.3,5.9,6.9,7.7,5.1,3.9,4.3
89,9.1,3.6,5.5,5.4,4.2,6.2,4.6,8.3,6.5,4.1,4.6,4.3,3.9
90,5.5,5.5,7.7,7,5.6,5.7,8.2,6.3,7.4,4.9,5.5,6.7,4.9
91,9.1,3.7,7,4.1,4.4,6.3,5.4,7.3,7.5,4.6,4.4,3,3.3
92,7.1,4.2,4.1,2.6,2.1,3.3,4.5,9.9,5.5,3.5,2,4,2.4
93,9.2,3.9,4.6,5.3,4.2,8.4,4.8,7.1,6.2,6.6,4.4,2.6,4.2
94,9.3,3.5,5.4,7.8,4.6,7.5,5.9,4.6,6.4,4.9,4.8,4.1,4.6
95,9.3,3.8,4,4.6,4.7,6.4,5.5,7.4,5.3,4.8,3.6,3.2,3.4
96,8.6,4.8,5.6,5.3,2.3,6,5.7,6.7,5.8,3.6,4.9,3.6,3.6
97,7.4,3.4,2.6,5,4.1,4.4,4.8,7.2,4.5,6.4,4.2,5.6,3.7
98,8.7,3.2,3.3,3.2,3.1,6.1,2.9,5.6,5,4.3,3.1,2.9,2.5
99,7.8,4.9,5.8,5.3,5.2,5.3,7.1,7.9,6,5.7,4.3,4.9,3.9
100,7.9,3,4.4,5.1,5.9,4.2,4.8,9.7,5.7,5.8,3.4,5.4,3.5
101,7.6,3.6,4.8,4.9,3.4,4.2,4.6,7.7,6.1,5.1,3.1,5.5,3.5
102,9.2,5,6.5,5.2,5.2,6.5,6.2,7.3,6.8,8.6,5.1,4.6,4.2
103,7.7,4.7,4.7,4.7,5.2,5.2,7,7.7,5.9,5.4,4,4.7,3.7
104,9.5,5.6,0.4,5.5,5.6,6.9,6.6,7.6,3.8,4.4,5.6,4.5,4.4
105,6.5,4.3,5,6.8,4.7,6.3,6,8.7,6.1,6.9,5,5.6,4.6
106,8.3,3.4,2.8,5.9,3.4,4.6,5.2,9.1,5.8,5.2,4.2,5.8,3.9
107,9.6,4.1,5.5,6.5,4.8,7.7,5.5,7.7,6.9,5.5,4.4,4.6,4.9
108,5.9,4,6.8,8.7,6,5.9,6.2,8.4,6.3,5.3,5.8,7.5,5.4
109,8.7,3.7,1.5,5.5,4.6,7.4,4.8,3.8,3.9,5.7,4.6,3.5,4.2
110,6.7,3.2,3.4,5.5,2.3,6.3,4.5,5,5.4,6.5,3.8,2.6,3.1
111,9.7,5,5.5,7.1,3.4,7.5,6.1,6.7,6.9,5.2,3.7,3.4,4.1
112,8.8,3.5,6.7,6.6,3.3,8.1,4.5,6.7,7.2,2.7,4,2.3,3.9
113,8.2,3.6,8.9,5.2,4.5,4.9,5,9,7.8,4.3,4.5,6.9,4.5
114,8.9,4.3,4.8,5.6,6.3,5.1,6.9,8.2,5.6,6.7,4.2,5.9,4.2
115,8.4,3.8,8.6,4.9,3.2,4.7,5.9,6.7,7.9,6.6,4,5,3.6
116,7.7,4.7,4.1,5.4,4.3,5.2,7,7.7,5.3,7.4,5.1,4.7,3.7
117,9.2,5,5.9,6.4,4.9,6.5,6.2,7.3,6.7,8.9,4.2,4.6,4.2
118,7.3,3.6,4.5,4.1,5.4,5.2,6.1,8,5.4,3.7,2.8,3.3,2.9
119,9,4.1,5.3,4.2,3,4.8,5,6,5.7,4.9,3.3,3.9,3.1
120,8.1,2.5,3.2,3.9,4.1,5.1,3.8,6.6,5.4,6.2,2.6,3.5,3
121,7.4,5.1,5,8.3,5,7.2,6.9,9.6,6.3,4.3,5.7,6.5,5.5
122,7.9,3,5.5,6.2,4.3,4.2,4.8,9.7,5.5,4.6,4.8,5.4,3.5
123,7.7,2.2,6.8,3.4,2.4,4.7,3.4,6.2,6.7,4.3,3.2,3.1,2.6
124,9.4,2.5,6.4,7,3.2,7.3,4.6,6.3,6.5,5.4,5.8,4.6,4.6
125,7.2,4.3,4.1,4.2,3.9,3.4,4.7,10,5.5,3.6,3.2,4.1,2.5
126,8.3,3.7,4.9,4,5.3,6.1,6.1,5.3,5.8,7.4,4.1,2.9,3.1
127,7.9,3.9,4.1,6.6,4.9,6.9,5.8,4.7,6,6.7,4.6,4.2,4.3
128,7.3,3.6,8.5,4,3.6,5.2,6.1,8,7.3,2.9,3.3,3.3,2.9
129,9.6,5.7,6.1,6.2,5.6,8.2,7.8,4.5,7.1,4.8,4.4,3,4.3
130,8.3,2.8,4.8,2.6,3,5.7,2.5,5.2,5.4,2.8,1.2,2.5,2.1
131,8.6,3.6,7.5,6.1,2.9,7.3,4.7,3.7,7.3,5.2,5,3.4,4
132,8,2.5,3.9,6.9,3.4,7.7,3,5.2,5.4,6.8,4.6,4.2,4.7
133,6.4,3.2,4.3,1.5,2.2,2.9,5,8.4,6,7,2.4,3.7,1.6
134,6.6,3.8,5.1,6.3,3.2,5.3,6.6,8.2,6.4,2.9,4.3,4.1,3.3
135,7.6,2.5,5.1,6,3.2,7.1,4.2,5.8,5.4,6.2,3.6,3.8,4.2
136,9.4,4.1,6,5.6,3.4,7.8,4.7,7.6,6.5,6,5.1,3.7,4.4
137,8.3,2.8,2.4,3.1,3,5.7,2.5,5.2,4.8,4.2,1.8,2.5,2.1
138,7.8,4.9,6.4,5.7,5.8,5.3,7.1,7.9,6.4,5.2,4.1,4.9,3.9
139,7.1,4.2,5.8,3.3,2.8,3.3,4.5,9.9,6.2,3.1,2.8,4,2.4
140,7.6,3.6,4.5,4.8,2.2,4.6,5,7.4,6.4,5.3,4.4,5.8,3.9
141,5.6,3.4,3.8,6.3,5.2,5.7,5.6,9.1,5.8,6,4.5,6,4.5
142,9.9,2.8,6.1,5.8,1.5,5.8,3.5,5.4,5.9,6.8,4,4.9,4
143,9.2,3.4,7.7,6.9,4.9,7.4,5.8,4.5,7.2,6.1,4.2,4,4.5
144,9.1,3.8,4.9,5.1,3.1,7.5,4.5,7.3,5.7,5.2,4.5,3.4,4.2
145,9.9,4.2,5.2,5.4,3.4,5.4,4.5,3.8,6.2,8,3.8,4,3.5
146,9.9,4.2,1.2,4.1,3.2,5.4,4.5,3.8,4.9,6.2,4.1,4,3.5
147,6.6,3.8,3,4.7,4.5,5.3,6.6,8.2,5.8,3.5,4.6,4.1,3.3
148,9.1,3.7,3.5,4.7,4.1,6.3,5.4,7.3,5.9,6.5,3.7,3,3.3
149,5.1,5.1,4.4,6.2,5.8,5.4,7.8,5.9,5.4,3.9,5.1,6.3,4.5
150,6,4.1,7.2,5.8,4.8,5.3,5.3,8,6.4,3.6,4.3,5.3,4
151,8.9,4.3,6.5,5.7,4.3,5.1,6.9,8.2,7.1,3.8,5,5.9,4.2
152,6.2,3.3,3.5,5.4,4,3.6,5.1,6.9,4.8,4.7,4,6.3,3.7
153,7.2,4.3,3.7,3.8,3.6,3.4,4.7,10,4.5,2.9,3,4.1,2.5
154,8.8,3.5,8.5,5.4,2.8,8.1,4.5,6.7,8,5.6,4.1,2.3,3.9
155,6.3,5.1,4.7,5.3,3.7,4.1,6.6,8.4,6.3,4.2,4.4,5.1,3.4
156,9.7,2.8,3.7,5.8,3.7,5.7,4.7,4.8,4.8,1.6,4,4.1,3.6
157,5,3.6,6.7,4.4,4.1,4.2,4.9,8.2,6.4,4,3.7,4.8,3.1
158,7.4,3.4,6.1,4.3,5.8,4.4,4.8,7.2,6.1,5.1,4,5.6,3.7
159,5.5,3.7,7.4,5.7,4.5,5.3,4.9,6,7.6,6,4.3,5.9,4.3
160,9.1,3.6,6.4,4.8,3,6.2,4.6,8.3,7,6.1,4.6,4.3,3.9
161,6.7,3.7,6,4.9,5.1,5.1,4.9,9.2,6.5,5.6,3.7,4.5,3.4
162,6.3,4.5,8.6,6.4,4.9,6.8,5.9,8.8,8.4,6.5,6.4,6.2,5.2
163,8.3,3.7,6,4.9,5.7,6.1,6.1,5.3,6.6,5.5,3.6,2.9,3.1
164,8.2,3.6,4.9,4,4.7,6,6,5.2,5.6,5.9,4.7,2.8,3
165,8.2,3.6,4.3,4,5.8,6,6,5.2,5.6,6.2,4,2.8,3
166,9,4.1,6.6,4.4,3.3,4.8,5,6,6.6,5.6,4.3,3.9,3.1
167,7.1,3.4,5.9,3.7,3.8,5,5.9,7.8,6.1,7.2,3.6,3.1,2.7
168,6.9,3.7,5.3,3.4,3.3,2.3,5.4,8.9,6.6,3.4,2.7,4.2,2
169,8.6,2.9,4.5,4,2.8,5.6,4,6.3,6.1,5.1,4,3,3
170,6.7,4,4.5,4.3,4.2,5.4,6.8,8.4,6.1,4,3.8,4.3,3.5
171,7,3.3,4.9,5.6,4,4.8,4.2,9,5.5,5.3,3.3,5.2,3.7
172,9.7,2.6,6.2,5.8,2.1,5.6,3.3,5.2,6.7,8.4,4.5,4.7,3.8
173,9.9,3.7,4.8,5.3,4.6,7,6.7,6.8,6.7,8,5,3.4,3.9
174,8.6,4.8,5.5,4.2,3.3,6,5.7,6.7,6.2,2.8,4.8,3.6,3.6
175,6.3,5.1,5.4,4.7,5.5,4.1,6.6,8.4,5.7,2.4,2.8,5.1,3.4
176,9.9,3.7,7.3,4.2,6.1,7,6.7,6.8,6.4,5.2,4.3,3.4,3.9
177,9.3,2.4,5.3,5.8,2.6,7.2,4.5,6.2,6.5,4.1,4,4.4,4.5
178,9.7,5,6.3,5.8,5.2,7.5,6.1,6.7,7.5,6.1,4.9,3.4,4.1
179,9.7,2.6,6.1,5.3,2.4,5.6,3.3,5.2,5.5,7.1,4.6,4.7,3.8
180,9.6,5.7,4.9,6.1,6.9,8.3,7.8,4.5,5.4,6.2,4,3,4.3
181,7.6,2.5,6.5,6.3,3.8,7.1,4.2,5.8,6.9,5.5,4.4,3.8,4.2
182,9.4,4.1,5.2,6.4,4.8,7.8,4.7,7.6,5.8,6.5,4.7,3.7,4.4
183,9.6,5.7,6.6,6.7,5.1,8.2,7.8,4.5,6.6,5.6,4.6,3,4.3
184,9.3,5.1,5.5,5.8,5.6,6.6,6.3,7.4,6.3,5.7,4.4,4.6,4.3
185,9.7,2.8,4.4,5.1,3.8,5.7,4.7,4.8,5.8,6.3,4.7,4.1,3.6
186,9.1,3.8,3.4,7.1,3,7.5,4.5,7.3,4.9,5.1,6,3.4,4.2
187,6.5,2.8,0.6,5.2,2.5,4.3,3.7,8.5,4.3,4.8,4.3,4.7,3.3
188,6.6,3.6,4,4,1.7,4.7,4.8,7.2,4.7,4.8,3.2,3.6,2.8
189,5.8,3.6,6.9,6.6,5.1,5.9,5.8,9.3,7.1,3.4,5.9,6.1,4.6
190,8.7,3.7,3,5.6,4.2,7.4,4.8,3.8,5.4,3.6,5.5,3.5,4.2
191,8.8,3.9,5.4,4.2,3.4,4.7,4.8,5.8,6.9,5.8,3.8,3.7,2.9
192,6.4,4.5,2.5,5.8,4,5.7,5.7,8.4,4.7,5,4,5.8,4.4
193,6.7,3.6,0.5,3.2,3.3,4.7,4.8,7.2,4.3,5,2.9,3.6,2.8
194,5.2,3.8,5.5,4.7,3.3,4.3,5,8.4,6.1,3.6,4.3,4.9,3.3
195,6.4,3.3,2.7,4,5.3,4.7,4.5,8.8,3.7,7,3.6,4.1,3
196,7.6,3.6,2.1,5.2,4.8,6.6,5.4,4.4,4.3,6.8,4.4,3.9,4
197,5.9,4,3.3,7.8,3.3,5.9,6.2,8.4,5.2,6.6,6,7.5,5.4
198,9.7,5,7.9,6.3,5.3,7.6,6.1,6.8,6.6,5.2,4.4,3.5,4.2
199,5.5,5.5,6.9,6.6,6.5,5.7,8.2,6.3,7,5.3,5.9,6.7,4.9
200,9.7,5,5.6,5.9,5.3,7.6,6.1,6.8,6.9,1.2,4.3,3.5,4.2
